aid-jp6-c6058fc1,2013866,MIDD/240A Lower/547/01,2021-12-04T06:04:42.593Z
aid-jp6-76b63a60,2013867,MIDD/Infirmary/5/11,2022-08-23T05:21:19.181Z
aid-jp6-cd7340ff,2013876,MIDD/120B Bed/234/02,2023-09-01T17:35:47.934Z
aid-jp6-6fb26e58,2013891,MIDD/120B Bed/249/01,2023-06-05T13:04:56.545Z
aid-jp6-2243b767,2013909,MIDD/80 Lower/409/08,2024-02-01T17:45:30.922Z
aid-jp6-c9d9cdfd,2014023,MIDD/240C Upper/758/01,2022-03-02T06:31:44.436Z
aid-jp6-587393d1,2014025,MIDD/Infirmary/6/08,2022-03-18T17:26:34.355Z
aid-jp6-70ba96e2,2014059,MIDD/240C Upper/758/02,2022-07-20T23:13:37.564Z
aid-jp6-0b17370d,2014061,MIDD/240A Lower/516/02,2023-06-05T13:04:56.246Z
aid-jp6-510ca599,2014090,MIDD/240A Lower/558/01,2023-07-14T20:03:59.272Z
aid-jp6-b59e0083,2012656,MIDD/240A Lower/544/01,2023-07-14T20:03:59.295Z
aid-jp6-a8b69aa5,2012509,MIDD/80 Upper/420/04,2022-07-28T05:10:42.235Z
aid-jp6-1de2a6e0,2012533,MIDD/240C Upper/730/02,2022-08-25T16:18:12.078Z
aid-jp6-db13dcef,2012224,MIDD/60 Bed/308/02,2023-09-15T19:00:03.930Z
aid-jp6-9db8a070,2012308,MIDD/120B Bed/214/01,2022-03-11T20:35:46.649Z
aid-jp6-21fc59e2,2011850,MIDD/120B Bed/204/01,2023-04-11T15:53:35.798Z
aid-jp6-bcda47fa,2011939,MIDD/240A Lower/532/02,2022-03-03T06:32:12.465Z
aid-jp6-e29fa8b4,2012224,MIDD/80 Upper/419/02,2022-08-18T05:52:21.920Z
aid-jp6-1a323fce,2012509,MIDD/Infirmary/5/12,2022-01-31T14:03:25.734Z
aid-jp6-fdeb9049,2012533,MIDD/240A Lower/551/01,2022-04-15T14:01:18.626Z
aid-jp6-b6528a8e,2012656,MIDD/60 Bed/329/01,2022-10-21T11:48:40.117Z
aid-jp6-a1bd8623,2013268,MIDD/60 Bed/360/01,2023-08-09T01:14:37.000Z
aid-jp6-b82e23b1,2013516,MIDD/120B Bed/254/02,2023-12-15T15:11:13.000Z
aid-jp6-888aa4b8,2013687,MIDD/120B Bed/246/01,2021-10-14T00:15:57.460Z
aid-jp6-b2fbf962,2011103,MIDD/80 Upper/416/06,2024-01-30T16:26:47.000Z
aid-jp6-1b7760b4,2011204,MIDD/120B Bed/243/01,2022-06-28T09:36:27.715Z
aid-jp6-0125c401,2011850,MIDD/240A Lower/504/01,2022-08-23T05:07:40.685Z
aid-jp6-a0c8de54,2011939,MIDD/240C Upper/727/02,2024-01-10T01:50:10.000Z
aid-jp6-8c5d0c82,2012509,MIDD/80 Lower/402/08,2023-09-15T19:00:04.033Z
aid-jp6-a7a32118,2012656,MIDD/240D Upper/828/02,2022-09-28T15:55:29.738Z
aid-jp6-56cf7334,2013687,MIDD/80 Upper/419/05,2022-07-28T12:30:19.599Z
aid-jp6-e4cc5ff6,2013909,MIDD/120B Bed/245/02,2022-03-22T00:05:12.015Z
aid-jp6-72e727b7,2013516,MIDD/240A Lower/521/01,2022-04-15T14:01:20.741Z
aid-jp6-c144cafb,2013268,MIDD/60 Bed/328/02,2022-08-05T19:02:40.418Z
aid-jp6-233e2a47,2011103,MIDD/120B Bed/250/02,2022-05-05T05:12:07.471Z
aid-jp6-4bf87993,2011204,MIDD/120B Bed/234/01,2022-02-16T20:26:46.069Z
aid-jp6-017877f8,2014061,MIDD/240A Lower/538/01,2024-01-18T14:43:28.000Z
aid-jp6-b35c06c2,2014025,MIDD/240A Lower/521/02,2023-09-01T16:30:40.892Z
aid-jp6-64ade80a,2014059,MIDD/120B Bed/258/01,2022-01-27T00:22:46.682Z
aid-jp6-500b714c,2014090,,2024-01-17T15:07:29.000Z
,706010,,
,703568,,
,688910,,
,714334,,
